Processo_ID,Primeiro Resultado,Todos os Resultados,Total Vereditos
08011842820238150981,Perdido,Perdido,1
08021924520208150981,Acordo,Acordo,1
08006569120238150981,Perdido,Perdido,1
08005061320238150981,Outros,Outros,1
08015697320238150981,Perdido,Perdido,1
08011993120228150981,Perdido,Perdido,1
08018633320238150171,Nenhuma Sentença,-,-
08009010520238150981,Perdido,Perdido | Perdido,2
08013165620218150981,Perdido,Perdido,1
08007264520228150981,Perdido,Perdido,1
08014643320228150981,Perdido,Perdido,1
08017472220238150981,Perdido,Perdido,1
08002879720238150981,Perdido,Perdido,1
08015567420238150981,Perdido,Perdido,1
08004715320238150981,Perdido,Perdido,1
08001380420238150981,Perdido,Perdido,1
08005483320218150981,Nenhuma Sentença,-,-
08007431820218150981,Acordo,Acordo,1
08018130220238150981,Outros,Outros | Outros,2
08005021020228150981,Perdido,Perdido | Outros,2
00015083220158150981,Outros,Outros,1
08004490520178150981,Outros,Outros,1
08001796820238150981,Outros,Outros,1
08020394120228150981,Outros,Outros,1
08019078120228150981,Outros,Outros,1
08014504920228150981,Nenhuma Sentença,-,-
08021242720228150981,Outros,Outros,1
08019051420228150981,Outros,Outros,1
08022065820228150981,Outros,Outros,1
08021684620228150981,Acordo,Acordo,1
08055322220238150001,Outros,Outros,1
08006704520198150131,Ganho,Ganho,1
08000948220238150981,Perdido,Perdido,1
08014479420228150981,Outros,Outros,1
08015786920228150981,Outros,Outros,1
08016817620228150981,Outros,Outros,1
08001285720238150981,Outros,Outros,1
08014695520228150981,Outros,Outros,1
08006632020228150981,Perdido,Perdido,1
08014747720228150981,Outros,Outros,1
08016907220218150981,Nenhuma Sentença,-,-
08021623920228150981,Outros,Outros,1
08020324920228150981,Nenhuma Sentença,-,-
08007581620238150981,Perdido,Perdido,1
08000428620238150981,Ganho,Ganho,1
08002471820238150981,Nenhuma Sentença,-,-
08019358320218150981,Ganho,Ganho,1
08005443020208150981,Perdido,Perdido,1
08008387720238150981,Acordo,Acordo,1
08014018120178150981,Perdido,Perdido,1
08015682520228150981,Outros,Outros,1
08014634820228150981,Outros,Outros,1
08003575120228150981,Ganho,Ganho,1
08016964520228150981,Outros,Outros,1
08006759720238150981,Outros,Outros,1
08005823720238150981,Nenhuma Sentença,-,-
08005044320238150981,Outros,Outros,1
08019618120218150981,Ganho,Ganho,1
08023971120198150981,Perdido,Perdido,1
08015252520218150981,Outros,Outros,1
00029191320158150981,Outros,Outros | Ganho,2
08001699720188150981,Perdido,Perdido | Ganho | Perdido,3
08011061020188150981,Perdido,Perdido,1
08093586120208150001,Acordo,Acordo,1
08017025220228150981,Perdido,Perdido,1
08005417020238150981,Outros,Outros,1
08009637920228150981,Outros,Outros,1
08334154120238150001,Nenhuma Sentença,-,-
08020316420228150981,Outros,Outros,1
08033183320208150981,Outros,Outros,1
08011427620238150981,Outros,Outros,1
08009472820228150981,Perdido,Perdido,1
08021078820228150981,Nenhuma Sentença,-,-
08001935720208150981,Perdido,Perdido | Outros,2
08012709620238150981,Acordo,Acordo,1
08011542720228150981,Ganho,Ganho,1
08002720220218150981,Outros,Outros | Ganho | Outros,3
08016416020238150981,Outros,Outros,1
08007989520238150981,Acordo,Acordo,1
00017427720168150981,Perdido,Perdido,1
08007212320228150981,Outros,Outros,1
08012475320238150981,Acordo,Acordo,1
08009455820228150981,Perdido,Perdido,1
08004593920238150981,Outros,Outros,1
08011895020238150981,Acordo,Acordo,1
08010067920238150981,Outros,Outros,1
08016468220238150981,Ganho,Ganho,1
08019675420228150981,Outros,Outros,1
08015324620238150981,Ganho,Ganho | Ganho,2
08010154120238150981,Outros,Outros,1
08000852320238150981,Ganho,Ganho,1
08019407120228150981,Perdido,Perdido,1
08011851320238150981,Ganho,Ganho,1
08013820220228150981,Ganho,Ganho,1
08011098620238150981,Nenhuma Sentença,-,-
08010925020238150981,Nenhuma Sentença,-,-
08015558920238150981,Nenhuma Sentença,-,-
08012804320238150981,Nenhuma Sentença,-,-
08018913020228150981,Perdido,Perdido,1
08001753120238150981,Ganho,Ganho,1
08013679620238150981,Outros,Outros,1
08008730820218150981,Ganho,Ganho | Outros,2
08012971620228150981,Outros,Outros | Outros,2
08013826520238150981,Nenhuma Sentença,-,-
08014683620238150981,Outros,Outros | Outros,2
08006124320218150981,Perdido,Perdido,1
08013246220238150981,Outros,Outros | Outros,2
08006646820238150981,Perdido,Perdido,1
08012449820238150981,Ganho,Ganho,1
00014333220118150981,Outros,Outros | Outros,2
08019732720238150981,Acordo,Acordo,1
08003549620228150981,Ganho,Ganho | Ganho,2
08019992520238150981,Acordo,Acordo,1
08019984020238150981,Acordo,Acordo,1
08019967020238150981,Acordo,Acordo,1
08019678820218150981,Perdido,Perdido,1
08019525120238150981,Acordo,Acordo,1
08020279020238150981,Outros,Outros,1
08007556120238150981,Ganho,Ganho,1
08003979620238150981,Acordo,Acordo | Acordo,2
08020957420228150981,Ganho,Ganho,1
08014120320238150981,Acordo,Acordo,1
08021338620228150981,Ganho,Ganho,1
08022160520228150981,Acordo,Acordo,1
08019533620238150981,Acordo,Acordo,1
08022178720228150981,Acordo,Acordo,1
08001712820228150981,Ganho,Ganho | Ganho,2
08001262920198150981,Outros,Outros,1
08012902420228150981,Outros,Outros | Outros,2
08019420720238150981,Acordo,Acordo,1
08000982720208150981,Perdido,Perdido,1
08002564320248150981,Nenhuma Sentença,-,-
08023093120238150981,Acordo,Acordo,1
08019472920238150981,Acordo,Acordo,1
08012954620228150981,Perdido,Perdido,1
08005726120218150981,Perdido,Perdido,1
08016462020238150161,Ganho,Ganho | Ganho,2
08023101620238150981,Acordo,Acordo,1
08018298820238150161,Ganho,Ganho | Ganho,2
08010130920238150161,Acordo,Acordo,1
08014253720238150161,Ganho,Ganho,1
08013673420238150161,Perdido,Perdido,1
08022195820238150161,Acordo,Acordo,1
08000746320228150161,Perdido,Perdido | Perdido,2
08022245120218150161,Nenhuma Sentença,-,-
08025313420238150161,Outros,Outros | Outros,2
08023165820238150161,Acordo,Acordo,1
08009784920238150161,Acordo,Acordo,1
08011387420238150161,Acordo,Acordo,1
08012236020238150161,Ganho,Ganho,1
08017622620238150161,Outros,Outros | Outros,2
08003124820238150161,Perdido,Perdido | Outros,2
08007689520238150161,Acordo,Acordo | Acordo,2
08005047820238150161,Perdido,Perdido,1
08011083920238150161,Ganho,Ganho | Ganho,2
08008173920238150161,Perdido,Perdido,1
08005558920238150161,Perdido,Perdido,1
08021407920238150161,Perdido,Perdido,1
08002048220248150161,Acordo,Acordo,1
08024412620238150161,Perdido,Perdido,1
08022069320228150161,Perdido,Perdido,1
08023469320238150161,Nenhuma Sentença,-,-
08013633120228150161,Outros,Outros,1
08021563320238150161,Ganho,Ganho,1
08025062120238150161,Perdido,Perdido | Perdido,2
08009005520238150161,Outros,Outros,1
